organizations_id,CDPNAME,ADDCITY,COUNTRY,ORGTYPE,Sector,Size,Unrestricted_operating_bottomline,year
183,Philadelphia Sketch Club,Philadelphia,USA,501(c)3 nonprofit organization,Community,Small,0.0654040180546951,2018
231,Philadelphia Museum of Art,Philadelphia,USA,501(c)3 nonprofit organization,Art Museums,Large,0.8049415924986901,2018
248,Theatre Exile,Philadelphia,USA,501(c)3 nonprofit organization,Theater,Medium,-0.0361926722439804,2018
257,"Act II Playhouse, Ltd.",Ambler,USA,501(c)3 nonprofit organization,Theater,Medium,0.1371460860761292,2018
259,InterAct Theatre Company,Philadelphia,USA,501(c)3 nonprofit organization,Theater,Medium,0.3608163043182498,2018
366,Philadelphia Young Playwrights,Philadelphia,USA,501(c)3 nonprofit organization,Arts Education,Medium,-0.1339247728469725,2018
369,Contemporary Craft,Pittsburgh,USA,501(c)3 nonprofit organization,Arts Education,Medium,0.4822581583386656,2018
393,The Galleries at Moore College of Art and Design,Philadelphia,USA,Program or department within a parent organization,Community,Medium,0.0,2018
413,Community Education Center,Philadelphia,USA,501(c)3 nonprofit organization,Community,Small,0.0959483736762481,2018
418,Enchantment Theatre Company,Philadelphia,USA,501(c)3 nonprofit organization,Theater,Medium,0.0515398658752511,2018
446,Squonk Opera,Pittsburgh,USA,501(c)3 nonprofit organization,General Performing Arts,Medium,0.8791404560644781,2018
459,Azuka Theatre Collective,Philadelphia,USA,501(c)3 nonprofit organization,Theater,Small,0.0099961196787231,2018
465,Chamber Music Pittsburgh,Pittsburgh,USA,501(c)3 nonprofit organization,Music,Medium,0.0467184819051015,2018
467,"Tempesta di Mare, Inc.",Philadelphia,USA,501(c)3 nonprofit organization,Music,Medium,0.0146384743128824,2018
491,"Piffaro, The Renaissance Band",Philadelphia,USA,501(c)3 nonprofit organization,Music,Medium,0.1235488796510736,2018
497,1812 Productions,Philadelphia,USA,501(c)3 nonprofit organization,Theater,Medium,0.0346811955084663,2018
519,River City Brass Band,Pittsburgh,USA,501(c)3 nonprofit organization,Music,Large,-0.0101145758670655,2018
589,Allens Lane Art Center,Philadelphia,USA,501(c)3 nonprofit organization,Community,Medium,-0.033645881991045,2018
641,Pittsburgh New Music Ensemble,Pittsburgh,USA,501(c)3 nonprofit organization,Music,Medium,0.187360936804684,2018
667,First Person Arts,Philadelphia,USA,501(c)3 nonprofit organization,Community,Medium,0.0103535972286764,2018
669,American Swedish Historical Museum,Philadelphia,USA,501(c)3 nonprofit organization,Other Museums,Medium,0.0774092517197648,2018
677,Commonwealth Youthchoirs,Philadelphia,USA,501(c)3 nonprofit organization,Music,Large,-0.0258707629248424,2018
685,Anne-Marie Mulgrew and Dancers Co.,Philadelphia,USA,501(c)3 nonprofit organization,Dance,Small,0.0368252317823412,2018
689,"Ebenezer Maxwell Mansion, Inc.",Philadelphia,USA,501(c)3 nonprofit organization,Other Museums,Small,-0.2536059154909413,2018
693,Curio Theatre Company,Philadelphia,USA,501(c)3 nonprofit organization,Theater,Small,0.006912,2018
717,Kulu Mele African American Dance Ensemble,Philadelphia,USA,501(c)3 nonprofit organization,Dance,Small,0.0085407971410665,2018
725,Philadelphia Dance Projects,Philadelphia,USA,501(c)3 nonprofit organization,Dance,Small,-0.1353921979865771,2018
774,Lyra Society,Philadelphia,USA,501(c)3 nonprofit organization,Music,Small,-0.1867319228585894,2018
792,Anna Crusis Feminist Choir,Philadelphia,USA,501(c)3 nonprofit organization,Music,Small,-0.0396686787845903,2018
797,Hidden City Philadelphia of CultureTrust,Philadelphia,USA,Program or department within a parent organization,Community,Small,0.1395968256863997,2018
916,1807 & Friends,Philadelphia,USA,501(c)3 nonprofit organization,Music,Small,0.0840000969838037,2018
929,Cumberland Valley School of Music,Chambersburg,USA,501(c)3 nonprofit organization,Arts Education,Medium,-0.0106564417502526,2018
938,Slought Foundation,Philadelphia,USA,501(c)3 nonprofit organization,Community,Small,0.1879343175804337,2018
966,"Frick Art & Historical Center, Inc.",Pittsburgh,USA,501(c)3 nonprofit organization,Art Museums,Medium,0.9940508344175082,2018
1144,"Center Stage Associates, Inc.",Baltimore,USA,501(c)3 nonprofit organization,Theater,Large,-0.3019909394037892,2018
1147,Towson University Asian Arts & Culture Center,Towson,USA,Program or department within a parent organization,Community,Small,0.3550343581636933,2018
1165,Baltimore Classical Guitar Society,Timonium,USA,501(c)3 nonprofit organization,Music,Small,0.2340241099866951,2018
1167,International Ballet Exchange,Philadelphia,USA,501(c)3 nonprofit organization,Dance,Small,0.0009283780746415,2018
1172,Nashirah,Philadelphia,USA,501(c)3 nonprofit organization,Music,Small,-0.0268810983840487,2018
1207,Concord School House and Upper Burying Ground of Germantown,Philadelphia,USA,501(c)3 nonprofit organization,Other Museums,Small,-0.1005865529109506,2018
1209,Philadelphia Guild of Hand Weavers,Philadelphia,USA,501(c)3 nonprofit organization,Community,Small,0.2092969826926022,2018
1214,"Danse4Nia Repertory Ensemble, Inc.",Philadelphia,USA,501(c)3 nonprofit organization,General Performing Arts,Small,-0.0188010302505761,2018
1221,West Park Cultural Center,Philadelphia,USA,501(c)3 nonprofit organization,Community,Small,0.0590046539323377,2018
1239,Inis Nua Theatre Company,Philadelphia,USA,501(c)3 nonprofit organization,Theater,Small,0.244257101171472,2018
1288,MacGuffin Theatre & Film Company,Philadelphia,USA,501(c)3 nonprofit organization,Theater,Small,-0.1006823492755881,2018
1319,Theatre Project,Baltimore,USA,501(c)3 nonprofit organization,Theater,Small,0.0158339895118567,2018
1340,"Community Concerts at Second, Inc.",Baltimore,USA,501(c)3 nonprofit organization,Music,Small,-0.0469369666621379,2018
1555,"Dance Baltimore, Inc.",Towson,USA,501(c)3 nonprofit organization,Dance,Small,0.0320182961692395,2018
1642,San Francisco Opera Association,San Francisco,USA,501(c)3 nonprofit organization,Opera,Large,0.0898003624271783,2018
1679,San Jose Museum of Quilts & Textiles,San Jose,USA,501(c)3 nonprofit organization,Art Museums,Small,-0.1241800832317457,2018
1728,San Jose Institute of Contemporary Art,San Jose,USA,501(c)3 nonprofit organization,Community,Medium,0.7966880850508977,2018
1730,"New Musicals Inc., dba Academy for New Musical Theatre",North Hollywood,USA,501(c)3 nonprofit organization,Theater,Small,0.1955556640664738,2018
1752,Santa Rosa Symphony Association,Santa Rosa,USA,501(c)3 nonprofit organization,Symphony Orchestras,Large,0.1068343117867612,2018
1759,Los Angeles Choreographers and Dancers Inc.,Los Angeles,USA,501(c)3 nonprofit organization,Dance,Medium,0.0249309468100382,2018
1765,Opera San Jose,San Jose,USA,501(c)3 nonprofit organization,Opera,Large,-0.0179397557938155,2018
1778,"South Bay Chamber Music Society, Inc.",Palos Verdes Peninsu,USA,501(c)3 nonprofit organization,Music,Small,0.194965923819877,2018
1788,In The Band,Santa Monica,USA,501(c)3 nonprofit organization,Community,Small,-0.6412648485862473,2018
1817,Piano Spheres,Los Angeles,USA,501(c)3 nonprofit organization,Music,Small,0.0673301684459117,2018
1819,MACLA,San Jose,USA,501(c)3 nonprofit organization,Community,Medium,0.3974864538686559,2018
1828,SFJAZZ,San Francisco,USA,501(c)3 nonprofit organization,Performing Arts Centers,Large,0.190335556898911,2018
1850,PlayGround,San Francisco,USA,501(c)3 nonprofit organization,Theater,Medium,0.0304665678964369,2018
1880,The Actors' Gang,Culver City,USA,501(c)3 nonprofit organization,Theater,Medium,-0.4656128377023318,2018
1898,Community Music Center,San Francisco,USA,501(c)3 nonprofit organization,Arts Education,Large,0.0935860472398269,2018
1919,Vivace Youth Chorus of San Jose,San Jose,USA,501(c)3 nonprofit organization,Arts Education,Small,-0.0845230770243191,2018
1953,Santa Monica Symphony,Santa Monica,USA,501(c)3 nonprofit organization,Symphony Orchestras,Small,0.3735993182033395,2018
1975,"Benita Bike's DanceArt, Inc.",Sunland,USA,501(c)3 nonprofit organization,Dance,Small,1.0226542617547665,2018
1998,The Verdi Chorus,Santa Monica,USA,501(c)3 nonprofit organization,Music,Small,0.1989067110223255,2018
2016,City Lights Theater Company of San Jose,San Jose,USA,501(c)3 nonprofit organization,Theater,Medium,-0.0277220090546674,2018
2033,Chamber Music Palisades,Pacific Palisades,USA,501(c)3 nonprofit organization,Music,Small,-0.0322707183765265,2018
